"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL1802857";"";"None";"345.31";"0";"0.26";"L18";"CCOC(=O)C(=O)NC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1805103";"Inhibition of human recombinant CDK5/p25";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1800025";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL97844";"";"None";"355.24";"0";"4.51";"35";"CCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21";"IC50";"'='";"799834.26";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL321192";"";"None";"292.29";"0";"3.20";"5";"COc1ccc2c(c1)C(=O)C(c1c(O)[nH]c3ccccc13)=N2";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"20.26";"0.37";"2.72";"7.93";"0";"CHEMBL663605";"Inhibition of Cyclin-dependent kinase 5-p35nck5a";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1149190";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL1738742";"";"None";"354.46";"0";"3.27";"7";"CC[C@H](CO)Nc1nc(NCc2ccccc2)c2[nH]nc(C(C)C)c2n1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"18.90";"0.35";"3.43";"6.78";"0";"CHEMBL1767840";"Inhibition of human recombinant CDK5/p35";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1765057";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL334091";"";"None";"371.29";"0";"4.17";"10";"O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCC1";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"14.87";"0.33";"1.35";"9.65";"0";"CHEMBL663600";"Ability to inhibit Cyclin-dependent kinase 5-p35.";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1136288";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL1802847";"";"None";"315.37";"0";"2.22";"L7";"CC(C)CCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1C";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"18.07";"0.34";"3.48";"9.02";"0";"CHEMBL1805103";"Inhibition of human recombinant CDK5/p25";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1800025";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
"CHEMBL2088667";"";"None";"352.33";"0";"3.28";"22";"Cc1n[nH]c(=O)c2c1c1cc(F)ccc1n2Cc1cccc([N+](=O)[O-])c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2090596";"Inhibition of human recombinant CDK5/P25 using myelin basic protein substrate";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL2086312";"1";"Scientific Literature";"Eur J Med Chem";"2012";"None";"";""
"CHEMBL98360";"";"None";"406.08";"0";"4.85";"14";"O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(Br)ccc2N1";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"12.31";"0.33";"0.15";"11.14";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL99037";"";"None";"266.27";"0";"3.47";"10";"O=C1Cc2c([nH]c3ccc(F)cc23)-c2ccccc2N1";"IC50";"'='";"1300.17";"nM";"5.89";"";"";"UO_0000065";"22.11";"0.40";"2.42";"13.11";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL120497";"";"None";"309.35";"0";"4.26";"68";"O=[N+]([O-])c1ccc2[nH]c3c(c2c1)CC(S)=Nc1ccccc1-3";"IC50";"'='";"1698.24";"nM";"5.77";"";"";"UO_0000065";"18.65";"0.36";"1.51";"8.09";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL209648";"";"None";"403.18";"1";"5.02";"7e";"O=Nc1c(-c2c(O)[nH]c3c(I)cccc23)[nH]c2ccccc12";"IC50";"'='";"77000.0";"nM";"4.11";"";"";"UO_0000065";"10.20";"0.26";"-0.91";"5.06";"0";"CHEMBL867889";"Inhibition of mammalian CDK5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1137414";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL210104";"";"None";"467.37";"0";"4.60";"14g";"Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCCC2)c2cccc(Br)c21";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL867889";"Inhibition of mammalian CDK5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1137414";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL1081242";"";"None";"468.51";"0";"1.99";"8h";"COc1cc(CNCCNC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2C)cc(OC)c1OC";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1115722";"Inhibition of human CDK5/p25";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1153707";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";""
"CHEMBL379878";"";"None";"455.36";"0";"4.83";"13l";"CCN(CC)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL867889";"Inhibition of mammalian CDK5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1137414";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL1796526";"";"None";"587.73";"1";"4.39";"9F";"CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)N/N=C/c3ccccc3)n1NC(=O)c1ccccc1)CCCC2";"IC50";"'='";"385.0";"nM";"6.42";"";"";"UO_0000065";"10.91";"0.21";"2.02";"4.92";"0";"CHEMBL1799141";"Inhibition of CDK5/p25 assessed as [33P]gamma-ATP incorporation into biotinylated PKTPKKAKKL substrate after 60 mins by scintillation counting";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1795325";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";""
"CHEMBL1796519";"";"None";"514.03";"1";"1.34";"8Y";"CC(=O)NNC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(C)=O";"IC50";"'='";"454.0";"nM";"6.34";"";"";"UO_0000065";"12.34";"0.26";"5.00";"4.31";"0";"CHEMBL1799141";"Inhibition of CDK5/p25 assessed as [33P]gamma-ATP incorporation into biotinylated PKTPKKAKKL substrate after 60 mins by scintillation counting";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1795325";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";""
"CHEMBL1796683";"";"None";"585.74";"2";"2.97";"10H";"Nn1c(S)nnc1CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccccc1";"IC50";"'='";"4985.0";"nM";"5.30";"";"";"UO_0000065";"9.05";"0.19";"2.33";"3.20";"0";"CHEMBL1799141";"Inhibition of CDK5/p25 assessed as [33P]gamma-ATP incorporation into biotinylated PKTPKKAKKL substrate after 60 mins by scintillation counting";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1795325";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";""
"CHEMBL552418";"";"None";"307.31";"0";"1.96";"19";"COc1nc(NNC(C)=O)c(C#N)c(-c2ccccc2)c1C#N";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1057275";"Inhibition of human recombinant CDK5/P25 by scintillation counting";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1153477";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL134501";"";"None";"328.17";"0";"3.49";"10 (4-Azakenpaullone)";"O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccnc2N1";"IC50";"'='";"12000.0";"nM";"4.92";"";"";"UO_0000065";"14.99";"0.34";"1.43";"8.52";"0";"CHEMBL663595";"Inhibition of human Cyclin-dependent kinase 5-p35nck5a";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1146834";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL3338886";"";"None";"321.34";"0";"3.09";"8";"COc1ccc(-c2n[nH]c(=O)c3[nH]c4ccc(OC)cc4c23)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3381515";"Inhibition of CDK5/p25 (unknown origin)";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL3351708";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";""
"CHEMBL379618";"";"None";"359.46";"0";"3.40";"14";"COCCNc1nc(-c2ccc(C(C)=O)s2)nc2c1ncn2C(C)C";"IC50";"'='";"4900.0";"nM";"5.31";"";"";"UO_0000065";"14.77";"0.29";"1.91";"6.48";"0";"CHEMBL860055";"Inhibition of Cdk5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1147833";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL4097256";"";"None";"323.70";"0";"4.57";"6g";"FC(F)(F)c1cccc(/C=C/c2cnc3ccc(Cl)nn23)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4041957";"Inhibition of human recombinant CDK5/p25 after 30 mins by [gamma-33P]ATP based scintillation counting analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4041493";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";""
